X,Y,Z
-0.0146,-0.0229,+1.0063
-0.0156,-0.0239,+1.0073
-0.0190,-0.0215,+1.0078
-0.0210,-0.0244,+1.0020
-0.0156,-0.0225,+1.0054
-0.0161,-0.0259,+1.0039
-0.0176,-0.0254,+1.0059
-0.0156,-0.0361,+1.0063
-0.0078,-0.0308,+0.9976
-0.0254,-0.0151,+1.0083
-0.0171,-0.0254,+1.0068
-0.0132,-0.0264,+1.0068
-0.0186,-0.0225,+1.0073
-0.0215,-0.0205,+1.0063
-0.0156,-0.0269,+1.0083
-0.0190,-0.0244,+1.0059
-0.0195,-0.0234,+1.0044
-0.0195,-0.0264,+1.0034
-0.0161,-0.0278,+1.0059
-0.0176,-0.0220,+1.0093
-0.0195,-0.0234,+1.0103
-0.0176,-0.0244,+1.0029
-0.0195,-0.0259,+1.0044
-0.0166,-0.0239,+1.0073
-0.0200,-0.0215,+1.0049
-0.0195,-0.0249,+1.0107
-0.0166,-0.0229,+1.0068
-0.0190,-0.0254,+1.0083
-0.0176,-0.0244,+1.0054
-0.0190,-0.0239,+1.0073
-0.0181,-0.0244,+1.0088
-0.0181,-0.0234,+1.0049
-0.0166,-0.0249,+1.0083
-0.0176,-0.0273,+1.0024
-0.0181,-0.0254,+1.0029
-0.0210,-0.0244,+1.0073
-0.0176,-0.0264,+1.0054
-0.0181,-0.0239,+1.0054
-0.0195,-0.0254,+1.0063
-0.0156,-0.0225,+1.0059
-0.0195,-0.0254,+1.0039
-0.0190,-0.0254,+1.0073
-0.0195,-0.0249,+1.0068
-0.0181,-0.0234,+1.0063
-0.0176,-0.0254,+1.0039
-0.0186,-0.0259,+1.0039
-0.0190,-0.0254,+1.0063
-0.0190,-0.0234,+1.0068
-0.0190,-0.0244,+1.0054
-0.0171,-0.0259,+1.0059
-0.0161,-0.0234,+1.0044
-0.0210,-0.0254,+1.0068
-0.0195,-0.0259,+1.0059
-0.0181,-0.0234,+1.0044
-0.0205,-0.0244,+1.0044
-0.0186,-0.0229,+1.0049
-0.0205,-0.0244,+1.0034
-0.0186,-0.0254,+1.0063
-0.0181,-0.0254,+1.0034
-0.0195,-0.0254,+1.0068
-0.0161,-0.0229,+1.0073
-0.0190,-0.0254,+1.0034
-0.0190,-0.0220,+1.0024
-0.0176,-0.0244,+1.0068
-0.0176,-0.0264,+1.0029
-0.0181,-0.0269,+1.0098
-0.0195,-0.0254,+1.0044
-0.0176,-0.0254,+1.0054
-0.0171,-0.0264,+1.0054
-0.0190,-0.0254,+1.0054
-0.0181,-0.0239,+1.0078
-0.0200,-0.0269,+1.0098
-0.0171,-0.0249,+1.0093
-0.0176,-0.0244,+1.0063
-0.0210,-0.0215,+1.0122
-0.0171,-0.0249,+1.0029